Планета;Созвездие;Характер;Цели и амбиции;Эмоции;Дружба;Любовь;Семья;Финансовое благополучие;Карьера;Интеллект;Умения;Здоровье;События прошлого;Потенциал развития;Творчество;Риски;Миссия
Юпитер;Телец;Упорство, стабильность, стремление к материальному благополучию;Финансовый успех и стабильность;—;—;Практичность, ценение комфорта и красоты;—;—;—;—;—;—;—;Развитие гибкости;;—;Излишняя консервативность, склонность к лени
Сатурн;Телец;Последовательность, неторопливость, стремление к стабильности;Достижение материального благополучия;—;—;Практичность в отношениях, ценение комфорта;—;—;—;—;—;—;—;Развитие гибкости;;—;Излишняя консервативность, склонность к лени
Уран;Телец;Изобретательность, целеустремлённость, революционность;Создание нового, отвечающего современности;—;—;Постоянство, склонность к экспериментам в отношениях;—;—;—;—;—;—;—;Развитие гибкости;;—;Излишняя консервативность, трудности с адаптацией к новому
Нептун;Телец;Прагматичность, стремление к материальной независимости;Накопление финансового состояния;—;—;—;—;—;—;—;—;—;—;Развитие эстетического восприятия;;—;Склонность к чрезмерной экономии, трудности с пониманием мистики
Плутон;Телец;Материализм, прагматизм, стремление к стабильности;Достижение финансового благополучия;—;—;—;—;—;—;—;—;—;—;Развитие гибкости;;—;Склонность к алчности, излишняя жадность
Асцендент;Телец;Трудолюбие, стремление к материальным ценностям;Создание стабильных отношений;—;—;Постоянство, ценение красоты и комфорта;—;—;—;—;—;—;—;Развитие гибкости;;—;Излишняя консервативность, склонность к лени
Точка середины неба;Телец;Терпеливость, сдержанность, любовь к комфорту;Достижение успеха в прикладной деятельности;—;—;—;—;—;Строительство, медицина, финансы, сельское хозяйство, искусство;—;—;—;—;Развитие гибкости;—;Излишняя упрямсть, нежелание подчиняться;Создание стабильности и комфорта
Солнце;Близнецы;Активность, любознательность, коммуникабельность, непостоянство;—;—;—;—;—;—;—;Быстрое мышление, любовь к чтению и информации;—;—;—;—;;—;Трудности с концентрацией, психологические проблемы
Луна;Близнецы;Лёгкость, любознательность, динамичность;Поиск новых знаний и впечатлений;—;—;Флирт, стремление к разнообразию в отношениях;—;—;—;—;—;—;—;Развитие усидчивости;;—;Склонность к ветрености, трудности с концентрацией
Меркурий;Близнецы;Любознательность, общительность, непостоянство;Поиск новых знаний и впечатлений;—;—;Лёгкость в общении, но поверхностность;—;—;—;Быстрое усвоение информации, многозадачность;—;—;—;Развитие усидчивости;;Интерес к разнообразным проектам;Трудности с концентрацией, склонность к провалам из-за невнимательности
Венера;Близнецы;Общительность, любвеобильность, лёгкость в общении;Поиск новых впечатлений и знаний;—;—;Флирт, стремление к разнообразию в отношениях;—;—;—;—;—;—;—;Развитие усидчивости;;—;Склонность к ветрености, трудности с концентрацией
Марс;Близнецы;Переменчивость, внутренние сомнения, любознательность;Поиск новых знаний и впечатлений;—;—;Лёгкость в общении, но склонность к непостоянству в отношениях;—;—;—;—;—;—;—;Развитие усидчивости;;—;Склонность к поверхностности, трудности с завершением дел
Юпитер;Близнецы;Общительность, любознательность, красноречие;Поиск новых знаний и впечатлений;—;—;Лёгкость в общении, стремление к разнообразию;—;—;—;—;—;—;—;Развитие усидчивости;;—;Склонность к ветрености, трудности с концентрацией
Сатурн;Близнецы;Избирательность, общительность, стремление к знаниям;Поиск новых впечатлений и знаний;—;—;Лёгкость в общении, но склонность к меркантильности;—;—;—;—;—;—;—;Развитие усидчивости;;—;Склонность к поверхностности, трудности с концентрацией
Уран;Близнецы;Интуиция, острый ум, творческий подход;Поиск новых знаний и решений;—;—;Лёгкость в общении, склонность к нестандартным отношениям;—;—;—;—;—;—;—;Развитие усидчивости;;—;Склонность к поверхностности, трудности с концентрацией
Нептун;Близнецы;Общительность, развитая фантазия, нестандартное мышление;Поиск новых знаний и впечатлений;—;—;—;—;—;—;—;—;—;—;Развитие усидчивости;;—;Склонность к легкомыслию, трудности с концентрацией
Плутон;Близнецы;Ораторские способности, стремление к просвещению;Просвещение и обучение других;—;—;—;—;—;—;—;—;—;—;Развитие усидчивости;;—;Склонность к манипуляции словами, излишняя болтливость
Асцендент;Близнецы;Высокоинтеллектуальный, красноречивый, любознательный;Поиск новых впечатлений и знаний;—;—;Лёгкость в общении, стремление к разнообразию в отношениях;—;—;—;—;—;—;—;Развитие усидчивости;;—;Склонность к ветрености, трудности с концентрацией
Точка середины неба;Близнецы;Эрудированность, красноречие, общительность;Восхищение окружающих;—;—;—;—;—;Образование, дипломатия, торговля, искусство, спорт;—;—;—;—;Развитие глубины;—;Склонность к поверхностности, излишняя разносторонность;Поиск новых знаний и впечатлений
Солнце;Рак;Размеренный образ жизни, эмоциональная нестабильность, склонность к накопительству;—;—;—;—;—;—;—;—;—;—;—;—;;—;Проблемы со здоровьем из-за чрезмерного контроля
Луна;Рак;Сила, самодостаточность, стремление к стабильности;Создание уюта и безопасности;—;—;Чувствительность, поиск надёжного партнёра;—;—;—;—;—;—;—;Развитие уверенности;;—;Склонность к эмоциональной зависимости, излишняя привязанность
Меркурий;Рак;Эмоциональность, злопамятность, склонность к накопительству;Создание уюта и безопасности;—;—;Чувствительность в отношениях;—;—;—;Хорошая память, но зависимость от эмоционального состояния;—;—;—;Развитие устойчивости;;Творчество, связанное с эмоциями;Эмоциональная нестабильность, склонность к мести
Венера;Рак;Спокойствие, застенчивость, стремление к стабильности;Создание уюта и безопасности;—;—;Чувствительность, поиск надёжного партнёра;—;—;—;—;—;—;—;Развитие уверенности;;—;Склонность к эмоциональной зависимости, излишняя привязанность
Марс;Рак;Дипломатичность, скрытность, защита семьи;Создание уюта и безопасности;—;—;Чувствительность, стремление к защите близких;—;—;—;—;—;—;—;Развитие уверенности;;—;Склонность к эмоциональной зависимости, излишняя привязанность
Юпитер;Рак;Дружелюбие, стремление к стабильности, забота о семье;Создание уюта и безопасности;—;—;Чувствительность, поиск надёжного партнёра;—;—;—;—;—;—;—;Развитие уверенности;;—;Склонность к эмоциональной зависимости, излишняя привязанность
Сатурн;Рак;Зацикленность на прошлом, стремление к стабильности;Создание уюта и безопасности;—;—;Чувствительность, поиск надёжного партнёра;—;—;—;—;—;—;—;Развитие уверенности;;—;Склонность к эмоциональной зависимости, излишняя привязанность
Уран;Рак;Стремление к независимости, переосмысление прошлого;Поиск нового пути, отказ от старых норм;—;—;Чувствительность, поиск новых форм отношений;—;—;—;—;—;—;—;Развитие уверенности;;—;Склонность к самокритике, трудности с адаптацией
Нептун;Рак;Чувствительность, сентиментальность, стремление к стабильности;Создание уюта и безопасности;—;—;—;—;—;—;—;—;—;—;Развитие уверенности;;—;Склонность к эмоциональной зависимости, излишняя привязанность
Плутон;Рак;Социальность, чувствительность, стремление к семейному уюту;Создание гармонии в семье;—;—;—;—;—;—;—;—;—;—;Развитие уверенности;;—;Склонность к эмоциональной зависимости, излишняя привязанность
Асцендент;Рак;Тёплый, позитивный, заботливый;Создание уюта и безопасности;—;—;Чувствительность, поиск надёжного партнёра;—;—;—;—;—;—;—;Развитие уверенности;;—;Склонность к эмоциональной зависимости, излишняя привязанность
Точка середины неба;Рак;Семейные ценности, честолюбие, адаптивность;Создание уюта и безопасности;—;—;—;—;—;Медицина, социальные службы, благотворительность, искусство;—;—;—;—;Развитие уверенности;—;Склонность к эмоциональной зависимости, избегание рисков;Создание гармонии в семье
Солнце;Лев;Активность, жизнерадостность, ранимость, прямолинейность;—;—;—;Восхищение второй половинкой, ожидание взаимности;—;—;—;—;—;—;—;—;;—;Быстрая трата заработанного
Луна;Лев;Яркость, притягательность, стремление к признанию;Достижение славы и успеха;—;—;Щедрость, поиск яркого и великодушного партнёра;—;—;—;—;—;—;—;Развитие скромности;;—;Излишняя самоуверенность, склонность к манипуляциям
Меркурий;Лев;Артистичность, желание привлекать внимание, уверенность в себе;Достижение признания и успеха;—;—;Яркость в отношениях, но склонность к самолюбованию;—;—;—;Творческий ум, склонность к демонстрации знаний;—;—;—;Развитие скромности;;Творчество, направленное на публику;Излишняя самоуверенность, склонность к манипуляциям
Венера;Лев;Благородство, отзывчивость, стремление к роскоши;Достижение признания и успеха;—;—;Щедрость, поиск яркого и великодушного партнёра;—;—;—;—;—;—;—;Развитие скромности;;—;Излишняя самоуверенность, склонность к манипуляциям
Марс;Лев;Яркость, общительность, стремление к признанию;Достижение славы и успеха;—;—;Щедрость, стремление к ярким и страстным отношениям;—;—;—;—;—;—;—;Развитие скромности;;—;Излишняя самоуверенность, склонность к манипуляциям
Юпитер;Лев;Благородство, стремление к признанию, любовь к роскоши;Достижение славы и успеха;—;—;Щедрость, поиск яркого и великодушного партнёра;—;—;—;—;—;—;—;Развитие скромности;;—;Излишняя самоуверенность, склонность к манипуляциям
Сатурн;Лев;Уверенность в себе, стремление к лидерству, желание улучшить мир;Достижение признания и успеха;—;—;Щедрость, поиск яркого и великодушного партнёра;—;—;—;—;—;—;—;Развитие скромности;;—;Излишняя самоуверенность, склонность к манипуляциям
Уран;Лев;Любвеобильность, талантливость, стремление к свободе;Поиск новых форм самовыражения;—;—;Свободные отношения, склонность к экспериментам;—;—;—;—;—;—;—;Развитие скромности;;—;Излишняя самоуверенность, склонность к манипуляциям
Нептун;Лев;Романтичность, стремление к признанию, творческая одарённость;Достижение славы и признания;—;—;—;—;—;—;—;—;—;—;Развитие скромности;;—;Склонность к самолюбованию, излишняя самоуверенность
Плутон;Лев;Честолюбие, стремление к лидерству, яркость;Достижение признания и успеха;—;—;—;—;—;—;—;—;—;—;Развитие скромности;;—;Склонность к эгоцентризму, излишняя самоуверенность
Асцендент;Лев;Яркий, харизматичный, уверенный в себе;Достижение признания и успеха;—;—;Щедрость, поиск яркого и великодушного партнёра;—;—;—;—;—;—;—;Развитие скромности;;—;Излишняя самоуверенность, склонность к манипуляциям
Точка середины неба;Лев;Стремление к роскоши, славе, признанию;Достижение всеобщего восхищения;—;—;—;—;—;Госслужба, политика, бизнес, спорт, медицина;—;—;—;—;Развитие скромности;—;Эгоизм, склонность к эпатажу, безжалостность в карьере;Достижение славы и признания
Солнце;Дева;Стремление к совершенству, трудолюбие, любознательность;—;—;—;—;—;—;—;—;—;—;—;—;—;Проблемы со здоровьем из-за трудоголизма;Достижение совершенства в работе
Луна;Дева;Трудолюбие, практичность, стремление к порядку;Поиск идеального партнёра;—;—;Практичность, склонность к критике в отношениях;—;—;—;—;—;—;—;Развитие терпимости;—;Излишняя требовательность, склонность к перфекционизму;Достижение совершенства
Меркурий;Дева;Практичность, перфекционизм, критичность;Достижение совершенства в работе;—;—;Практичность в отношениях, но склонность к критике;—;—;—;Аналитический ум, способность к планированию;—;—;—;Развитие терпимости;Творчество, связанное с анализом;Излишняя требовательность к себе и другим;Достижение совершенства
Венера;Дева;Сдержанность, холодность, стремление к порядку;Поиск идеального партнёра;—;—;Практичность, склонность к критике в отношениях;—;—;—;—;—;—;—;Развитие терпимости;—;Излишняя требовательность, склонность к перфекционизму;Достижение совершенства
Марс;Дева;Перфекционизм, сдержанность, стремление к порядку;Поиск идеального партнёра;—;—;Практичность, склонность к критике в отношениях;—;—;—;—;—;—;—;Развитие терпимости;—;Излишняя требовательность, склонность к перфекционизму;Достижение совершенства
Юпитер;Дева;Внимательность, ответственность, стремление к порядку;Поиск идеального партнёра;—;—;Практичность, склонность к критике в отношениях;—;—;—;—;—;—;—;Развитие терпимости;—;Излишняя требовательность, склонность к перфекционизму;Достижение совершенства
Сатурн;Дева;Проницательность, практичность, стремление к порядку;Поиск идеального партнёра;—;—;Практичность, склонность к критике в отношениях;—;—;—;—;—;—;—;Развитие терпимости;—;Излишняя требовательность, склонность к перфекционизму;Достижение совершенства
Уран;Дева;Новаторство, трудолюбие, стремление к совершенству;Поиск новых решений в привычных вещах;—;—;Практичность, склонность к стабильности в отношениях;—;—;—;—;—;—;—;Развитие терпимости;—;Излишняя требовательность, склонность к перфекционизму;Достижение совершенства через инновации
Нептун;Дева;Практичность, консерватизм, стремление к порядку;Поиск идеального партнёра;—;—;—;—;—;—;—;—;—;—;Развитие терпимости;—;Склонность к излишней критичности, перфекционизму;Достижение совершенства
Плутон;Дева;Трудолюбие, прагматизм, стремление к совершенству;Достижение профессионального успеха;—;—;—;—;—;—;—;—;—;—;Развитие терпимости;—;Склонность к перфекционизму, излишняя критичность;Достижение совершенства
Асцендент;Дева;Ответственный, щепетильный, сдержанный;Поиск идеального партнёра;—;—;Практичность, склонность к критике в отношениях;—;—;—;—;—;—;—;Развитие терпимости;—;Излишняя требовательность, склонность к перфекционизму;Достижение совершенства
Точка середины неба;Дева;Трудолюбие, интеллектуальность, стремление к порядку;Упорядочивание мира, помощь другим;—;—;—;—;—;Бухгалтерия, юриспруденция, наука, медицина, торговля;—;—;—;—;Развитие терпимости;—;Излишняя критика, нетерпимость к неудачам;Достижение совершенства
Солнце;Весы;Идеализм, стремление к гармонии, справедливость, обаяние;—;—;—;Романтичность, но трудности с выбором второй половинки;—;—;—;—;—;—;—;—;—;Противоречивость, откладывание важных дел;Достижение баланса и гармонии
Луна;Весы;Миролюбие, дипломатичность, стремление к гармонии;Создание баланса и гармонии;—;—;Тактичность, поиск идеального партнёра;—;—;—;—;—;—;—;Развитие решительности;—;Излишняя уступчивость, трудности с принятием решений;Создание гармонии в отношениях
Меркурий;Весы;Стремление к гармонии, дипломатичность, обаяние;Достижение баланса и гармонии;—;—;Тактичность в отношениях, но склонность к избеганию конфликтов;—;—;—;Умение находить баланс, склонность к справедливости;—;—;—;Развитие решительности;Творчество, связанное с эстетикой;Излишняя уступчивость, трудности с принятием решений;Создание гармонии в отношениях
Венера;Весы;Вежливость, магнетизм, стремление к гармонии;Создание баланса и гармонии;—;—;Тактичность, поиск идеального партнёра;—;—;—;—;—;—;—;Развитие решительности;—;Излишняя уступчивость, трудности с принятием решений;Создание гармонии в отношениях
Марс;Весы;Поиск гармонии, дипломатичность, стремление к балансу;Создание гармоничных отношений;—;—;Тактичность, стремление к компромиссам в отношениях;—;—;—;—;—;—;—;Развитие решительности;—;Излишняя уступчивость, трудности с принятием решений;Создание гармонии в отношениях
Юпитер;Весы;Вежливость, стремление к гармонии, справедливость;Создание баланса и гармонии;—;—;Тактичность, поиск идеального партнёра;—;—;—;—;—;—;—;Развитие решительности;—;Излишняя уступчивость, трудности с принятием решений;Создание гармонии в отношениях
Сатурн;Весы;Стремление к совершенству, дипломатичность, стремление к гармонии;Создание баланса и гармонии;—;—;Тактичность, поиск идеального партнёра;—;—;—;—;—;—;—;Развитие решительности;—;Излишняя уступчивость, трудности с принятием решений;Создание гармонии в отношениях
Уран;Весы;Стремление к гармонии, поиск новых форм взаимоотношений;Создание баланса и гармонии;—;—;Тактичность, поиск новых форм отношений;—;—;—;—;—;—;—;Развитие решительности;—;Излишняя уступчивость, трудности с принятием решений;Создание гармонии через инновации
Нептун;Весы;Общительность, стремление к гармонии, адаптация к окружению;Создание баланса и гармонии;—;—;—;—;—;—;—;—;—;—;Развитие решительности;—;Склонность к уступчивости, трудности с принятием решений;Создание гармонии в отношениях
Плутон;Весы;Активность, стремление к гармонии, поиск единомышленников;Создание баланса и гармонии;—;—;—;—;—;—;—;—;—;—;Развитие решительности;—;Склонность к излишней уступчивости, трудности с принятием решений;Создание гармонии в отношениях
Асцендент;Весы;Обаятельный, привлекательный, дипломатичный;Создание баланса и гармонии;—;—;Тактичность, поиск идеального партнёра;—;—;—;—;—;—;—;Развитие решительности;—;Излишняя уступчивость, трудности с принятием решений;Создание гармонии в отношениях
Точка середины неба;Весы;Очаровательность, артистичность, стремление к идеалу;Достижение высокого социального статуса;—;—;—;—;—;Искусство, дизайн, политика, юриспруденция, спорт;—;—;—;—;Развитие решительности;—;Склонность к самолюбованию, лени;Создание гармонии в отношениях
Солнце;Скорпион;Трудолюбие, амбициозность, интуиция, упрямство;—;—;—;Преданность, но склонность к жертвенности;—;—;—;—;—;—;—;—;—;Зависимости (алкоголь, секс, еда), внутренняя пустота;Духовная трансформация
Луна;Скорпион;Таинственность, страстность, стремление к глубоким чувствам;Поиск страстных и трансформационных отношений;—;—;Интенсивность, склонность к ревности;—;—;—;—;—;—;—;Развитие мягкости;—;Склонность к разрушительным эмоциям, излишняя ревность;Духовная трансформация
Меркурий;Скорпион;Интенсивность, проницательность, склонность к манипуляциям;Достижение власти и трансформации;—;—;Глубина в отношениях, но склонность к ревности;—;—;—;Глубокий аналитический ум, интерес к мистике;—;—;—;Развитие мягкости;Творчество, связанное с тайнами;Излишняя критичность, склонность к разрушительным эмоциям;Духовная трансформация
Венера;Скорпион;Страстность, таинственность, стремление к глубоким чувствам;Поиск страстных и трансформационных отношений;—;—;Интенсивность, склонность к ревности;—;—;—;—;—;—;—;Развитие мягкости;—;Склонность к разрушительным эмоциям, излишняя ревность;Духовная трансформация
Марс;Скорпион;Страстность, таинственность, стремление к глубоким чувствам;Поиск трансформации и власти;—;—;Интенсивность, склонность к ревности;—;—;—;—;—;—;—;Развитие мягкости;—;Склонность к разрушительным эмоциям, излишняя ревность;Духовная трансформация
Юпитер;Скорпион;Страстность, целеустремлённость, стремление к трансформации;Поиск глубоких и страстных отношений;—;—;Интенсивность, склонность к ревности;—;—;—;—;—;—;—;Развитие мягкости;—;Склонность к разрушительным эмоциям, излишняя ревность;Духовная трансформация
Сатурн;Скорпион;Страстность, таинственность, стремление к глубоким чувствам;Поиск страстных и трансформационных отношений;—;—;Интенсивность, склонность к ревности;—;—;—;—;—;—;—;Развитие мягкости;—;Склонность к разрушительным эмоциям, излишняя ревность;Духовная трансформация
Уран;Скорпион;Страстность, резкость, стремление к трансформации;Поиск глубинных изменений;—;—;Интенсивность, склонность к экспериментам в отношениях;—;—;—;—;—;—;—;Развитие мягкости;—;Склонность к разрушительным эмоциям, излишняя ревность;Духовная трансформация через инновации
Нептун;Скорпион;Страстность, таинственность, стремление к глубоким чувствам;Поиск трансформации и духовного роста;—;—;—;—;—;—;—;—;—;—;Развитие мягкости;—;Склонность к разрушительным эмоциям, излишняя ревность;Духовная трансформация
Плутон;Скорпион;Страстность, таинственность, стремление к глубоким чувствам;Поиск трансформации и власти;—;—;—;—;—;—;—;—;—;—;Развитие мягкости;—;Склонность к разрушительным эмоциям, излишняя ревность;Духовная трансформация
Асцендент;Скорпион;Импульсивный, сильный, интуитивный;Поиск страстных и трансформационных отношений;—;—;Интенсивность, склонность к ревности;—;—;—;—;—;—;—;Развитие мягкости;—;Склонность к разрушительным эмоциям, излишняя ревность;Духовная трансформация
Точка середины неба;Скорпион;Борцовский характер, хитрость, стремление к власти;Преодоление трудностей, искоренение зла;—;—;—;—;—;Военное дело, МЧС, политика, медицина, наука;—;—;—;—;Развитие мягкости;—;Жестокость, пессимизм, мстительность;Духовная трансформация
Солнце;Стрелец;Активность, независимость, оптимизм, прямолинейность;—;—;—;—;—;—;—;—;—;—;—;—;—;Быстрое угасание энтузиазма;Поиск свободы и новых горизонтов
Луна;Стрелец;Оптимизм, прямолинейность, стремление к свободе;Поиск новых горизонтов и впечатлений;—;—;Открытость, поиск партнёра для интеллектуального роста;—;—;—;—;—;—;—;Развитие глубины;—;Излишняя прямолинейность, склонность к невнимательности;Поиск новых знаний и свободы
Меркурий;Стрелец;Оптимизм, прямолинейность, любовь к путешествиям;Поиск свободы и новых горизонтов;—;—;Открытость в отношениях, но склонность к бестактности;—;—;—;Широкий кругозор, но поверхностность;—;—;—;Развитие глубины;Творчество, связанное с философией;Излишняя прямолинейность, склонность к невнимательности;Поиск новых знаний и свободы
Венера;Стрелец;Оптимизм, прямолинейность, стремление к свободе;Поиск новых горизонтов и впечатлений;—;—;Открытость, поиск партнёра для интеллектуального роста;—;—;—;—;—;—;—;Развитие глубины;—;Излишняя прямолинейность, склонность к невнимательности;Поиск новых знаний и свободы
Марс;Стрелец;Оптимизм, прямолинейность, стремление к свободе;Поиск новых горизонтов и впечатлений;—;—;Открытость, стремление к партнёру для интеллектуального роста;—;—;—;—;—;—;—;Развитие глубины;—;Излишняя прямолинейность, склонность к невнимательности;Поиск новых знаний и свободы
Юпитер;Стрелец;Оптимизм, прямолинейность, стремление к свободе;Поиск новых горизонтов и впечатлений;—;—;Открытость, поиск партнёра для интеллектуального роста;—;—;—;—;—;—;—;Развитие глубины;—;Излишняя прямолинейность, склонность к невнимательности;Поиск новых знаний и свободы
Сатурн;Стрелец;Оптимизм, прямолинейность, стремление к свободе;Поиск новых горизонтов и впечатлений;—;—;Открытость, поиск партнёра для интеллектуального роста;—;—;—;—;—;—;—;Развитие глубины;—;Излишняя прямолинейность, склонность к невнимательности;Поиск новых знаний и свободы
Уран;Стрелец;Оптимизм, любознательность, стремление к свободе;Поиск новых горизонтов и впечатлений;—;—;Открытость, поиск партнёра для интеллектуального роста;—;—;—;—;—;—;—;Развитие глубины;—;Излишняя прямолинейность, склонность к невнимательности;Поиск новых знаний и свободы через инновации
Нептун;Стрелец;Оптимизм, стремление к свободе, любовь к путешествиям;Поиск новых горизонтов и впечатлений;—;—;—;—;—;—;—;—;—;—;Развитие глубины;—;Склонность к иллюзиям, излишняя мечтательность;Поиск новых знаний и свободы
Плутон;Стрелец;Свободолюбие, оптимизм, стремление к новым горизонтам;Поиск новых знаний и впечатлений;—;—;—;—;—;—;—;—;—;—;Развитие глубины;—;Склонность к излишней прямолинейности, невнимательность;Поиск новых знаний и свободы
Асцендент;Стрелец;Позитивный, общительный, оптимистичный;Поиск новых горизонтов и впечатлений;—;—;Открытость, поиск партнёра для интеллектуального роста;—;—;—;—;—;—;—;Развитие глубины;—;Излишняя прямолинейность, склонность к невнимательности;Поиск новых знаний и свободы
Точка середины неба;Стрелец;Мягкость, открытость, стремление к знаниям и путешествиям;Передача знаний, открытие новых истин;—;—;—;—;—;Международные отношения, религия, литература, торговля;—;—;—;—;Развитие глубины;—;Склонность к компромиссам ради популярности;Поиск новых знаний и свободы
Солнце;Козерог;Трудолюбие, терпение, дисциплина, скрытность;—;—;—;—;—;—;—;—;—;—;—;—;—;Страх бедности, чрезмерная экономия;Достижение успеха через труд
Луна;Козерог;Трудолюбие, осмотрительность, стремление к стабильности;Поиск надёжного партнёра;—;—;Практичность, склонность к ревности;—;—;—;—;—;—;—;Развитие гибкости;—;Излишняя жёсткость, склонность к одиночеству;Достижение карьерных высот
Меркурий;Козерог;Практичность, амбициозность, дисциплинированность;Достижение успеха через труд;—;—;Практичность в отношениях, но склонность к холодности;—;—;—;Стратегическое мышление, умение планировать;—;—;—;Развитие гибкости;Творчество, связанное с долгосрочными проектами;Излишняя жёсткость, склонность к одиночеству;Достижение карьерных высот
Венера;Козерог;Замкнутость, холодность, стремление к стабильности;Поиск надёжного партнёра;—;—;Практичность, склонность к ревности;—;—;—;—;—;—;—;Развитие гибкости;—;Излишняя жёсткость, склонность к одиночеству;Достижение карьерных высот
Марс;Козерог;Упорство, дисциплинированность, стремление к власти;Достижение карьерных высот;—;—;Практичность, стремление к надёжному партнёру;—;—;—;—;—;—;—;Развитие гибкости;—;Излишняя жёсткость, склонность к одиночеству;Достижение успеха через труд
Юпитер;Козерог;Замкнутость, целеустремлённость, стремление к стабильности;Поиск надёжного партнёра;—;—;Практичность, склонность к ревности;—;—;—;—;—;—;—;Развитие гибкости;—;Излишняя жёсткость, склонность к одиночеству;Достижение карьерных высот
Сатурн;Козерог;Целеустремлённость, амбициозность, стремление к стабильности;Поиск надёжного партнёра;—;—;Практичность, склонность к ревности;—;—;—;—;—;—;—;Развитие гибкости;—;Излишняя жёсткость, склонность к одиночеству;Достижение карьерных высот
Уран;Козерог;Целеустремлённость, новаторство, стремление к стабильности;Поиск новых решений в карьере;—;—;Практичность, склонность к стабильности в отношениях;—;—;—;—;—;—;—;Развитие гибкости;—;Излишняя жёсткость, склонность к одиночеству;Достижение карьерных высот через инновации
