Планета;Планета;Аспект;Характер;Цели и амбиции;Эмоции;Дружба;Любовь;Семья;Финансовое благополучие;Карьера;Интеллект;Умения;Здоровье;События прошлого;Потенциал развития;Творчество;Риски;Миссия;;
Солнце;Марс;Соединение;Энергичность, агрессивность, жажда соревнований;Стремление к лидерству и достижениям;Эмоциональная активность;—;—;—;—;Успех в конкурентных профессиях;—;—;—;—;—;—;Эгоизм и вспыльчивость;—;;
Солнце;Марс;Секстиль;Энергичность, решительность, активность.;Стремление к достижению целей, инициативность.;Позитивные, уверенные эмоции.;—;Страсть, динамика в отношениях.;—;—;Успех в сферах, требующих активности и лидерства.;—;—;Хорошее физическое здоровье, высокая жизненная энергия.;—;—;—;—;;;
Солнце;Марс;Квадрат;Импульсивность, агрессия, резкость.                   ;Стремление к успеху любой ценой.                   ;Частые вспышки гнева, раздражительность.   ; —      ;Конфликты, стремление к доминированию.                     ; —     ;Риск неудачных инвестиций.         ;Возможность частых конфликтов на работе.                          ; —         ; —      ;Высокий риск травм и болезней, вызванных стрессом.                   ; —                ; —                  ; —          ;Высокий уровень риска.               ; —      ;;
Солнце;Марс;Трин;Сила воли, решительность, энергичность.               ;Достижение целей через активные действия.          ;Позитивные, уверенные эмоции.              ; —      ;Страсть, динамика в отношениях.                            ; —     ; —                                  ;Успех в сферах, требующих активности и лидерства.                 ; —         ; —      ;Хорошее физическое здоровье, высокая жизненная энергия.  ;—;—;—;—;—;;
Солнце;Марс;Оппозиция;Конфликтность, упрямство, взрывной темперамент.       ;Необходимость бороться за свои цели.               ;Эмоциональная нестабильность.              ;—      ;Возможны скандалы и борьба за лидерство.                   ;—     ;Риск финансовых потерь.            ;Трудности в профессиональном росте из-за конфликтности.           ;—         ;—      ;Возможны нервные срывы, заболевания сердечно-сосудистой системы.     ;—         ;—         ;—      ;Склонность к рискованному поведению. ;—;;
Солнце;Юпитер;Соединение;Оптимизм, щедрость, популярность;Стремление к успеху и признанию;Эмоциональная щедрость;—;—;—;—;Успех в общественной деятельности;—;—;—;—;—;—;—;—;;
Солнце;Юпитер;Секстиль;Оптимизм, щедрость, дружелюбие.;Стремление к расширению горизонтов, обучению.;Позитивные, доброжелательные эмоции.;—;Гармоничные, доверительные отношения.;—;—;Успех в сферах образования, путешествий, философии.;—;—;Хорошее здоровье, позитивное мировоззрение способствует крепкому иммунитету.;—;—;—;—;—;;
Солнце;Юпитер;Квадрат;Излишняя самоуверенность, склонность к преувеличению.;Стремление к большему, но без должного планирования.;Эмоциональная нестабильность, перепады настроения.;—;Возможны конфликты из-за разницы в ценностях и убеждениях.;—;—;Риск переоценки своих возможностей, что может привести к неудачам.;—;—;Склонность к излишествам, что может негативно сказаться на здоровье.;—;—;—;—;—;;
Солнце;Юпитер;Трин;Свободолюбие, жизнерадостность, доброта, весёлый нрав.;Стремление к расширению горизонтов, саморазвитию.;Позитивные, вдохновляющие эмоции.;—;Гармоничные отношения, основанные на взаимопонимании и поддержке.;—;—;Успех в творческих и общественных сферах, благотворительности.;—;—;Хорошее здоровье, способность быстро восстанавливаться после болезней.;;—;—;—;—;;
Солнце;Юпитер;Оппозиция;Излишняя самоуверенность, склонность к преувеличению;Стремление к богатству, власти;Переменная эмоциональность;—;Возможны конфликты из-за разницы в ценностях и убеждениях;—;—;Возможны проблемы из-за переоценки своих способностей;—;—;Склонность к излишествам, что может негативно сказаться на здоровье;—;—;—;Риск чрезмерных трат;—;;
Солнце;Сатурн;Соединение;Самостоятельность, целеустремленность;Стремление к стабильности и порядку;Эмоциональная сдержанность;—;—;—;—;Успех в профессиях, требующих терпения;—;—;Усталость;—;—;—;Отстраненность от общества;—;;
Солнце;Сатурн;Секстиль;Дисциплина, ответственность, трудолюбие;Целеустремленность, планомерное движение к успеху;Сдержанные эмоции, устойчивость к стрессу;—;Верность, надежность, стабильность.                        ;—;Успех через продуманные стратегии;Карьерный рост благодаря терпению и труду;—;—;Крепкое здоровье, но возможны хронические болезни из-за перегрузки;—;—;—;—;—;;
Солнце;Сатурн;Квадрат;Холодность, замкнутость, пессимизм;Трудности в достижении целей;Подавленность, страхи;—;—;—;Финансовые ограничения;Медленный карьерный рост, необходимость преодолевать препятствия;—;—;Склонность к депрессиям, проблемы с костями, суставами;—;—;—;Высокий уровень препятствий;—;;
Солнце;Сатурн;Трин;Ответственность, терпение, надежность.;Достижение целей через усердие и настойчивость;Эмоциональная стабильность, стойкость.;—;Трудности в отношениях, чувство одиночества.               ;—;Финансовая стабильность;Постепенный, но уверенный карьерный рост;—;—;Крепкое здоровье, долголетие;—;—;—;Минимальный риск;—;;
Солнце;Сатурн;Оппозиция;Чувство одиночества, неуверенность в себе.;Затруднения в реализации целей;Подавленные эмоции, страхи;—;Надежные, крепкие отношения.                               ;—;Финансовые трудности;Задержки в карьерном росте, препятствия;—;—;Проблемы со здоровьем, возможны хронические заболевания;—;—;—;Склонность к пессимизму;—;;
Солнце;Уран;Соединение;Оригинальность, независимость, развитая интуиция;Стремление к приключениям и новизне;Эмоциональная нестабильность;—;Трудности в отношениях, замкнутость.                       ;—;—;Успех в науке и технике;—;—;—;—;Яркий и необычный жизненный путь;—;—;—;;
Солнце;Уран;Секстиль;Нестандартное мышление, волевая личность, интуитивное чутьё;—;—;—;—;—;—;Успех в технических инновациях, астрологии;—;—;—;—;—;—;—;Вдохновение на революционные идеи;;
Солнце;Уран;Квадрат;Своеволие, беспечность, жесткость в достижении целей;—;—;—;—;—;—;—;—;—;—;—;—;—;Конфликты с окружающими, недоброжелатели;Поиск гармонии через баланс между личными и чужими интересами;;
Солнце;Уран;Трин;Шарм, личное обаяние, проницательность, талант к руководству;—;—;—;—;—;—;Успех в науке, изобретениях, реформах;—;—;—;—;—;—;—;Вдохновение на инновации и гуманизм;;
Солнце;Уран;Оппозиция;Гиперчувствительность, стремление к свободе, эксцентричность;—;—;—;—;—;—;—;—;—;—;—;—;—;Резкость в поведении, непостоянство, трудности в общении;Поиск гармонии через стабильность;;
Солнце;Нептун;Соединение;Многосторонние устремления, мистические способности;Стремление к духовному развитию;Эмоциональная чувствительность;—;—;—;—;Успех в творческих и духовных профессиях;—;—;—;—;—;—;Неуверенность в своих возможностях;—;;
Солнце;Нептун;Секстиль;Вдохновение, творчество, сострадание, тонкое восприятие мира;—;—;—;—;—;—;Успех в искусстве, психоаналитике, химии;—;—;—;—;—;Творчество;Опасности на дороге, конфликты с домочадцами;Поиск гармонии через искусство;;
Солнце;Нептун;Квадрат;Лживость, уход от реальности, склонность к иллюзиям и фантазиям;—;—;—;Тайные любовные приключения, романтические мечтания;—;—;—;—;—;—;—;—;—;Саморазрушение, участие в сомнительных авантюрах;Поиск гармонии через принятие реальности;;
Солнце;Нептун;Трин;Яркая интуиция, сострадание, мистицизм, музыкальность;—;—;—;—;—;—;Успех в творчестве, духовном лидерстве, заключении выгодных сделок;—;—;—;—;—;Творчество;Мечтательность, отсутствие практичности;Поиск гармонии через духовность;;
Солнце;Нептун;Оппозиция;Очаровательная, мечтательная, чувствительная личность, склонность к иллюзиям;—;—;—;Иллюзии мешают гармонии в любви;—;—;—;—;—;—;—;—;—;Обман, мания величия, атаки астральных существ;Поиск гармонии через объективность;;
Солнце;Плутон;Соединение;Лидерские качества, скрытность мотивов;Высокие духовные и умственные стремления;Эмоциональная интенсивность;—;Проблемы в личной жизни;—;—;Успех в исследованиях и трансформации;—;—;—;—;Быстрое возрождение после краха;—;Риск стать диктатором;—;;
Солнце;Плутон;Секстиль;Огромная сила воли, предприимчивость, способность к трансформации;Постоянное повышение квалификации;—;—;—;—;—;Успех в карьере, лидерство;—;—;—;—;—;—;—;Вдохновение окружающих на лучшее;;
Солнце;Плутон;Квадрат;Жесткость, властность, нетерпимость, стремление к самоутверждению;—;—;—;Агрессия в отношениях, разрывы;—;—;—;—;—;—;—;—;—;Эмоциональное напряжение, конфликты с окружающими;Поиск гармонии через самоконтроль;;
Солнце;Плутон;Трин;Сосредоточенность, решительность, высокая духовность, способность к ясновидению;Преследование общественных целей, саморазвитие;—;—;—;—;—;Успех в целительстве, изучении человеческой природы;—;—;—;—;—;—;—;Духовное развитие и трансформация;;
Солнце;Плутон;Оппозиция;Сильная воля, навязывание своего мнения, импульсивность, агрессия в спорах;—;—;—;Излишняя напористость в любви;—;—;—;—;—;—;—;—;—;Неприятие окружающих, отказ от сотрудничества;Поиск гармонии через самоконтроль;;
Солнце;Асцендент;Соединение;Bы пpиxoдитe нa пoмoщь дpугим людям, зa чтo вac цeнят и увaжaют. Hecмoтpя нa этo кaчecтвo, мнoгиe люди cчитaют вac caмoвлюблeнным эгoиcтoм.;Стpeмлeниe к уcпexу и пoпуляpнocти;—;—;—;—;—;—;—;—;Отменное здоровье;—;—;—;—;—;;
Солнце;Асцендент;Секстиль;Волевая, творческая, высокоинтеллектуальная натура;—;—;—;—;—;—;—;—;—;—;—;—;—;—;Гармония в самовыражении и отношениях;;
Солнце;Асцендент;Квадрат;Натянутые отношения с родственниками, трудности в общении;—;—;—;—;—;—;—;—;—;—;—;—;—;Неестественное поведение, склонность к спорам;Поиск гармонии через улучшение коммуникации;;
Солнце;Асцендент;Трин;Оптимизм, великодушие, сила воли, коммуникабельность;—;—;—;—;—;—;Успех в политике, дипломатии;—;—;—;—;—;—;—;Гармония в общении и сотрудничестве;;
Солнце;Асцендент;Оппозиция;Боязнь одиночества, страх быть отвергнутым, стремление к соревнованию;—;—;—;Ощущение личной неполноценности без прочного союза;—;—;—;—;—;Пониженный иммунитет, вирусные инфекции;Подавление лидерских качеств в детстве;—;—;Неустойчивость перед лестью, подверженность чужому влиянию;Поиск гармонии через самовыражение;;
Солнце;Точка середины неба;Соединение;Авторитарность, манипулирование другими людьми;—;—;—;—;—;—;—;—;—;—;—;Лучшe oбpaтить внимaниe нa пoлитичecкую или oбщecтвeнную жизнь. B дaнныx cфepax вaм удacтcя дoбитьcя бoльшoгo уcпexa.;—;—;—;;
Солнце;Точка середины неба;Секстиль;Умение выражать мысли, лидерские качества, успех в политике;—;—;—;—;—;—;Успех в руководстве, политике;—;—;—;—;—;—;—;Вдохновение на лидерство и управление;;
Солнце;Точка середины неба;Квадрат;Трудности в выборе профессии, конфликтность, стремление к самоутверждению;—;—;—;—;—;—;—;—;—;—;—;—;—;Асоциальное поведение, конфликты с окружающими;Поиск гармонии через учет интересов других людей;;
Солнце;Точка середины неба;Трин;Умение выражать мысли, успех в карьере, гармоничный брак;—;—;—;—;—;—;Успех в руководстве, карьере;—;—;—;—;—;—;—;Баланс между семьей и карьерой;;
Солнце;Точка середины неба;Оппозиция;Прокрастинация, неверие в свои силы, внутренний консерватизм;—;—;—;—;—;—;Трудности в карьере, страх перед критикой;—;—;—;—;—;—;Потеря самоидентичности, навязчивая идея признания;Поиск гармонии через профессиональный рост;;
Луна;Меркурий;Соединение;Чувствительный, с богатой фантазией и быстрым мышлением.;—;Болезненная реакция на замечания, стремление к рациональной организации жизни.;—;—;—;—;Успех в общественной деятельности, торговле, обучении.;—;—;—;—;Возможность использовать интуицию и аналитические способности;—;Лабильность психики, склонность к перепадам настроения;Развитие коммуникативных навыков и интеллектуального потенциала.;;
Луна;Меркурий;Секстиль;Высокий интеллект, рациональный анализ, гармония чувств и разума;—;—;—;—;—;—;—;—;Литературный талант;—;—;—;—;—;Поиск гармонии через интеллект;;
Луна;Меркурий;Квадрат;Нервность, сентиментальность, расточительность энергии, трудности в общении;—;—;—;—;—;—;—;—;—;—;—;—;—;Недопонимание со стороны окружающих, нервные расстройства;Поиск гармонии через самоконтроль;;
Луна;Меркурий;Трин;Практичность, хороший вкус, кулинарные таланты, коммуникабельность;—;—;—;—;—;—;—;—;—;—;—;—;—;—;Поиск гармонии через общение;;
Луна;Меркурий;Оппозиция;Неудачи в общении, эмоциональная нестабильность, склонность к болтовне;—;—;—;—;—;—;—;—;—;—;—;—;—;Проблемы с близкими, вещизм, нервные срывы;Поиск гармонии через ясность;;
Луна;Венера;Соединение;Гармоничный, тактичный, обходительный;—;Глубокая реакция на красоту и гармонию;—;Влюбчивость, тяга к шикарной жизни и веселью;—;—;Успех в дизайне, искусстве, кулинарии, моде;—;—;—;—;Возможность достичь счастья через поддержку женщин;—;Чрезмерная увлечённость материальными благами;Создание гармонии и красоты в жизни;;
Луна;Венера;Секстиль;Чувственность, забота о семье, кулинарные способности;—;—;—;—;—;—;—;—;Художественный талант, моделирование одежды;—;—;—;—;—;Поиск гармонии через творчество;;
Луна;Венера;Квадрат;Доверчивость, замкнутость, склонность к обману, финансовые трудности;—;—;—;—;—;—;—;—;—;—;—;—;—;Неудачи в семье, риск бесплодия;Поиск гармонии через доверие;;
Луна;Венера;Трин;Грациозность, услужливость, любовь к искусству, кулинарные таланты;—;—;—;—;—;—;—;—;Творческие способности, умение создавать уют;—;—;—;Искусство, музыка;—;Поиск гармонии через красоту;;
Луна;Венера;Оппозиция;Чувствительность, склонность к роскоши, лень;—;—;—;—;—;—;—;—;—;—;—;—;—;Конфликты в семье, пристрастие к вредной пище, материальные проблемы;Поиск гармонии через умеренность;;
Луна;Марс;Соединение;Нетерпеливый, эмоциональный, склонный к вспышкам гнева.;—;Интенсивные чувства, мстительность, ревность.;—;Склонность к использованию партнёра для личной выгоды.;—;—;—;—;—;—;—;Возможность достичь успеха через решительность и смелость.;—;Частые конфликты, склонность к рискованным поступкам.;Развитие эмоциональной устойчивости и самоконтроля.;;
Луна;Марс;Секстиль;Энергичность, предчувствие, способность доводить дела до конца;—;—;—;—;—;—;—;—;—;Хорошее здоровье;—;—;—;—;Достижение целей через энергию;;
Луна;Марс;Квадрат;Эмоциональность, вспыльчивость, конфликтность, высокие умственные способности;—;—;—;—;—;—;—;—;—;—;—;—;—;Скандалы в семье, риск потери самоконтроля;Поиск гармонии через самодисциплину;;
Луна;Марс;Трин;Способность сочувствовать, эмоциональная активность, владение собой;—;—;—;—;—;—;—;—;—;—;—;—;—;—;Поиск гармонии через активность;;
Луна;Марс;Оппозиция;Неуравновешенность, агрессивность, склонность к конфликтам;—;—;—;—;—;—;—;—;—;—;—;—;—;Ссоры с близкими, импульсивные решения, проблемы с алкоголем;Поиск баланса через самоконтроль;;
Луна;Юпитер;Соединение;Великодушие, стремление приносить добро, гостеприимство.;—;Сильная эмоциональная привязанность к родителям, дому, друзьям.;—;—;—;—;Успех в религиозной, воспитательной или юридической деятельности.;—;—;—;—;Возможность реализовать себя через помощь другим, участие в общественной деятельности.;—;Чрезмерная эмоциональная привязанность к ценностям.;Создание гармонии и счастья через помощь другим.;;
Луна;Юпитер;Секстиль;Сострадание, доброта, щедрость, религиозность;Успех в профессии, связанной с продажами;—;—;—;—;—;—;—;—;—;Ностальгия по прошлому;—;—;—;Поиск счастья через помощь другим;;
Луна;Юпитер;Квадрат;Добродушие, склонность к крайностям, лень, финансовые трудности;—;—;—;—;—;—;—;—;—;—;—;—;—;Недооценка со стороны близких, трудности в семье;Поиск гармонии через баланс;;
Луна;Юпитер;Трин;Духовная атмосфера, альтруизм, религиозность, сострадание;—;—;—;—;—;Финансовая удача через наследство или сделки;—;—;—;—;—;—;—;—;Поиск гармонии через духовность;;
Луна;Юпитер;Оппозиция;Импульсивная благожелательность, склонность к излишествам;—;—;—;—;—;—;—;—;—;—;—;—;—;Лень, расточительность, проблемы в отношениях из-за религиозных взглядов;Поиск гармонии через щедрость;;
Луна;Сатурн;Соединение;Изолированность, склонность к коллекционированию, блестящая память.;—;Эмоции зависят от прошлых травм, холодные отношения с матерью.;—;—;Трудные отношения с противоположным полом, возможны ссоры.;—;—;—;—;—;—;Осознание своей значимости, удовлетворение от качественного выполнения работы.;—;Замкнутость, склонность к изоляции от мира.;Достижение стабильности через труд и дисциплину.;;
Луна;Сатурн;Секстиль;Терпение, организованность, бережливость, строгость;—;—;—;—;—;—;—;—;—;—;—;—;—;Депрессивные настроения, резкость в общении;Достижение стабильности через труд;;
Луна;Сатурн;Квадрат;Детские травмы, привязанность к матери, замкнутость, неуверенность в себе;—;—;—;—;—;—;—;—;—;—;—;—;—;Склонность к самокритике, зацикленность на прошлом;Поиск стабильности через преодоление травм;;
Луна;Сатурн;Трин;Добросовестность, ответственность, сдержанность, консерватизм;Успех в торговле, недвижимости, земледелии;—;—;—;—;—;—;—;—;—;—;—;—;Замкнутость, воспринимаемая как неприветливость;Достижение успеха через труд;;
Луна;Сатурн;Оппозиция;Серьезность, ответственность, скованность, холодность в проявлении чувств;—;—;—;—;—;—;—;—;—;—;—;—;—;Трудности в общении, скучность, финансовые трудности;Поиск стабильности через труд;;
Луна;Уран;Соединение;Независимый, изобретательный, с ярким воображением и высокой интуицией.;—;Эмоциональная энергия, неприятие стереотипов, стремление к свободе.;Дом становится местом встреч с друзьями и групповых занятий.;—;—;—;—;—;—;—;—;Возможность вдохновлять других, находить нестандартные решения проблем.;Склонность к медиумизму, бродяжничеству, необычным идеям.;Окружающие могут считать вас раздражительным и капризным.;Поиск новых идей, свободы и вдохновения для себя и других.;;
Луна;Уран;Секстиль;Быстрая реакция, коммуникабельность, неординарные идеи;—;—;—;—;—;—;—;—;—;—;—;—;—;—;Поиск новых идей и свободы;;
Луна;Уран;Квадрат;Неординарность, импульсивность, нестабильность, экстремальные увлечения;—;—;—;—;—;—;—;—;—;—;—;—;—;Неуважение и измены со стороны партнера;Поиск свободы через перемены;;
Луна;Уран;Трин;Нестандартная внешность, подвижность ума, молниеносная реакция;Стремление к необычному, прогрессивность;—;—;—;—;—;—;—;—;—;—;—;—;Сумбурные взгляды при неблагоприятных аспектах;Поиск свободы через перемены;;
Луна;Уран;Оппозиция;Эмоциональная нестабильность, непредсказуемость, стремление к свободе;—;—;—;—;—;—;—;—;—;—;—;—;—;Частые переезды, разрывы отношений, нервное напряжение;Поиск свободы через перемены;;
Луна;Нептун;Соединение;Эмоциональный, впечатлительный, идеалистичный, романтичный.;—;Склонность к сочувствию и пониманию других, зависимость от настроения окружающих.;—;—;Религиозная или музыкальная семья, возможны таинственные обстоятельства происхождения.;—;—;—;—;—;—;Профессиональная реализация в музыке, мистическом искусстве, духовной или религиозной деятельности.;Возможны способности к ясновидению, оккультные таланты, интерес к мистике и духовным практикам.;Идеализация родителей, ожидание эмоциональной поддержки, которая трудно достижима.;Духовное и творческое развитие, помощь другим через сочувствие и понимание.;;
Луна;Нептун;Секстиль;Развитая интуиция, экстрасенсорные способности, воображение;Улучшение финансов и семейных отношений;—;—;—;—;—;—;—;Музыкальные способности, ясновидение;—;—;—;—;—;Поиск гармонии через интуицию;;
Луна;Нептун;Квадрат;Недостаток материнского тепла в детстве, хаотичность в личной жизни;—;—;—;—;—;—;—;—;—;—;—;—;—;Склонность к зависимостям, риск раздвоения личности;Поиск гармонии через преодоление хаоса;;
Луна;Нептун;Трин;Творческие силы, множество идей, дружба, влияние сверхъестественных сил;—;—;—;—;—;—;—;—;Творческие способности, эксцентричность;—;—;—;Искусство, музыка;—;Поиск гармонии через творчество;;
Луна;Нептун;Оппозиция;Внутренняя растерянность, впечатлительность, склонность к иллюзиям;—;—;—;—;—;—;—;—;—;Психосоматические расстройства;—;—;—;Зависимости, участие в сомнительных сделках, хаос в домашних делах;Поиск гармонии через духовность;;
Луна;Плутон;Соединение;Сильная настойчивость, желание доминировать над окружением. Огромное влияние на других людей.;—;Страсть к большим переживаниям, экстремальным ситуациям. Неизвестен страх, любовь к риску;Окружающих пугает ваша властность и резкость. Возможны оккультные способности.;Много внимания уделяется сексу и любви, но трудности с выражением чувств, особенно к любимому человеку.;—;—;—;—;—;—;—;"Желание быть ""супер-мамой"" (для женщин), стремление к материнской силе. Большая пробивная сила, интенсивные действия и смелые решения.";—;Часто случаются странные и опасные ситуации из-за подсознательного стремления к необычным испытаниям.;Духовное развитие, стремление к трансформации, исследование тайн жизни и смерти.;;
Луна;Плутон;Секстиль;Сильная воля, обновление чувств, устойчивость к трудностям;—;—;—;—;—;—;—;—;Неординарные идеи в карьере и семье;Улучшение здоровья;—;—;—;—;Преодоление трудностей через обновление;;
Луна;Плутон;Квадрат;Эгоизм, желание изменить жизнь к лучшему, сильный характер, давление на окружающих;—;—;—;Лидерство в семье, неприятие давления в свою сторону;—;—;—;—;—;—;—;—;—;Не замечает страдания окружающих, создает дискомфорт;Поиск власти через контроль;;
Луна;Плутон;Трин;Чувственность, энергичность, решительность, высокий силовой потенциал;Преодоление трудностей, достижение материальных и духовных благ;—;—;—;—;—;—;Интуитивное понимание скрытых причин явлений;Аналитическое мышление, умение решать сложные задачи;—;—;—;—;—;Преодоление трудностей через силу воли;;
Луна;Плутон;Оппозиция;Сильный характер, харизма, лидерские качества, склонность к контролю;—;—;—;Агрессивность в отношениях, склонность к конфликтам из-за наследства;—;—;—;—;—;—;—;—;—;Вторжение в личную жизнь других, хвастовство, раздражительность;Поиск власти через контроль;;
Луна;Асцендент;Соединение;Эмоциональный, капризный, экстравагантный;—;Сильная зависимость от матери или женского окружения;—;—;Любовь к дому, семье и детям.;—;—;—;—;—;—;Возможность создать уют и гармонию в доме;—;Чрезмерная утомляемость, болезненная реакция на критику;Создание эмоциональной стабильности и заботы о близких.;;
Луна;Асцендент;Секстиль;Гармония сознания и чувств, коммуникабельность, успех в отношениях;—;—;—;—;—;—;—;—;—;—;—;—;—;—;Поиск гармонии через общение;;
Луна;Асцендент;Квадрат;Неуверенность в себе, эмоциональность, трудности в отношениях;—;—;—;—;—;—;—;—;—;—;—;—;—;Неудачи в семье, склонность к самокритике;Поиск гармонии через уверенность;;
Луна;Асцендент;Трин;Постоянство, честность, справедливость, добросовестность;—;—;—;—;—;—;—;—;—;—;—;—;—;—;Поиск гармонии через честность;;
Луна;Асцендент;Оппозиция;Богатая фантазия, остроумие, быстрое мышление, интуиция на грани ясновидения;Профессиональная реализация, счастливый брак;Потребность в эмоциональной поддержке, обидчивость, мнительность;Потребность в общении с близкими по духу, игнорирование инакомыслящих;Зависимость от эмоциональной поддержки матери, страх перед сильными эмоциями;Роль матери как вдохновителя и поддержки;—;Успех в торговле, маркетинге, актерском мастерстве;Литературные и музыкальные способности;—;—;—;—;Творческие способности, боязнь сцены;Притягивание энергетических вампиров, завистников;Поиск гармонии через эмоциональную поддержку;;
Луна;Точка середины неба;Соединение;Стремление к популярности и известности;—;Чувство подавленности при возникновении препятствий;—;—;—;—;Успех в профессиях, связанных с общественной деятельностью;—;—;—;—;Возможность достичь высокого социального статуса;—;Чрезмерная зависимость от мнения окружающих.;Достижение успеха через общественное признание.;;
Луна;Точка середины неба;Секстиль;Эмоциональное удовлетворение от работы, успех в женском коллективе;—;—;—;—;—;—;—;—;—;—;—;—;—;—;Поиск гармонии через профессию;;
Луна;Точка середины неба;Квадрат;Эмоциональность, взрывной характер, трудности в семье и на работе;—;—;—;—;—;—;—;—;—;—;—;—;—;Разводы, непонимание со стороны близких;Поиск гармонии через самоконтроль;;
Луна;Точка середины неба;Трин;Оптимизм, уверенность в своих силах, гармония в семье;—;—;—;—;—;—;—;—;—;—;—;—;—;—;Поиск гармонии через уверенность;;
Луна;Точка середины неба;Оппозиция;Разрыв между работой и семьей, стремление к успеху, но нежелание покидать дом;—;—;—;—;—;—;—;—;—;—;—;—;—;Трудности в поддержании баланса между карьерой и личной жизнью;Поиск гармонии через баланс;;
Меркурий;Венера;Соединение;Грациозность, дипломатичность, умение красиво выражать мысли;—;—;—;—;—;—;—;—;—;—;—;—;—;—;Поиск гармонии через красоту;;
Меркурий;Венера;Секстиль;Приятный внешний вид, хорошие манеры, миролюбие, дружелюбие;—;—;—;—;—;—;—;Легкость в усвоении знаний, умение определять ценность идей;Творческие способности, коммуникабельность;—;—;—;Творчество, искусство;—;Поиск гармонии через общение и творчество;;
Меркурий;Венера;Квадрат;Трудности в общении, проблемы с выражением чувств, склонность к критике;—;—;—;—;—;—;—;—;—;—;—;—;—;Конфликты в отношениях, непонимание со стороны окружающих;Поиск гармонии через общение;;
Меркурий;Венера;Трин;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;;
Меркурий;Венера;Оппозиция;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;;
Меркурий;Марс;Соединение;Проницательность, умение убеждать, склонность к спорам, активность;—;—;—;—;—;—;—;—;—;—;—;—;—;—;Поиск истины через активность;;
